Address,Price,Radius,Beds,Bath
"Norfolk  Hill, 4147",111318,24,1,2
"Bingham   Hill, 3297",413496,9,5,3
"Fairview Boulevard, 425",435277,89,1,1
"Emily  Tunnel, 7051",420178,86,4,2
"Glenwood Alley, 5023",337515,88,4,3
"Hampden  Drive, 3638",61457,71,4,3
"Ben   Tunnel, 892",175720,36,2,3
"Berry  Walk, 1403",363074,24,3,1
"Arthur  Pass, 3136",218633,34,5,1
"Thurloe   Crossroad, 1689",144119,11,1,2
"Gate   Rue, 8306",130151,33,2,2
"Dunsley  Way, 5432",278383,35,4,2
"Longmoore   Route, 9431",337545,20,3,2
"Cleaver Road, 6506",214731,83,3,2
"Arbutus   Lane, 703",159375,33,1,2
"Egerton  Boulevard, 5176",457122,15,5,1
"Sheringham   Walk, 8671",495718,20,4,1
"Abbotswell  Street, 5701",462366,47,1,1
"Under  Street, 8119",275496,81,5,2
"Longman   Avenue, 2645",59570,60,1,1
"Blore  Grove, 7342",72305,63,2,1
"Geffrye   Walk, 3756",333384,79,2,3
"Longman   Avenue, 3267",436750,98,2,2
"Blackheath  Rue, 4036",202162,95,4,2
"Linden Way, 9691",322985,58,5,2
"Camera  Crossroad, 8667",428518,96,5,2
"Western   Grove, 8712",58946,59,4,1
"Lake Lane, 1618",328731,80,4,3
"Spruce Boulevard, 7113",354499,56,4,3
"Waite  Route, 232",143253,45,3,3
"Emden   Grove, 183",58119,47,1,3
"Cam  Hill, 3182",212471,97,2,1
"Emden   Walk, 9871",402539,10,3,1
"Rosewood Vale, 1645",229921,8,2,1
"Adams  Crossroad, 8125",112649,12,1,1
"Lake Vale, 6013",196464,65,1,2
"Black Swan  Route, 3156",315338,39,4,2
"Elba  Road, 4238",208853,4,5,1
"Underwood  Crossroad, 6181",226999,75,3,1
"Blue Anchor  Avenue, 2218",432265,29,1,1
"Emden   Route, 4579",254512,30,4,3
"Becklow  Crossroad, 8101",360776,70,4,2
"Rail Route, 7861",84624,29,1,1
"Chelsea Manor  Drive, 9320",453824,67,2,1
"Blackall   Alley, 7401",96889,64,2,3
"Blendon    Drive, 8984",386754,18,3,2
"Besson  Walk, 7026",70900,81,5,3
"Chestnut  Grove, 7724",499458,86,1,2
"Baynes  Avenue, 5570",332480,41,3,3
"Commercial  Alley, 5863",79615,37,3,1
"Blackheath   Lane, 3286",97766,69,4,1
"Blean   Street, 8508",434827,40,2,3
"Cardinal Drive, 1054",399456,31,3,1
"Thorndike   Boulevard, 1206",395782,85,4,1
"Arline    Alley, 9805",250667,31,4,3
"St. Johs  Grove, 8925",125610,38,1,1
"Linden Pass, 7725",55899,34,1,1
"Sherlock   Avenue, 2892",75396,93,5,3
"St. Johs  Street, 3377",427136,96,1,2
"Angel  Crossroad, 4092",91473,53,1,1
"English   Street, 6085",469532,47,1,1
"Earl Rise Boulevard, 7552",279505,56,1,2
"Earl Rise Rue, 3895",219580,79,4,1
"Belmont Park Hill, 3299",238660,5,4,1
"Chart   Route, 9208",417275,2,5,2
"Cam  Rue, 1242",258531,89,5,3
"Tisbury  Hill, 3281",229795,88,5,2
"Elizabeth  Road, 7152",382689,36,1,1
"Cardinal Tunnel, 5130",237749,22,5,3
"Gavel   Crossroad, 6938",291670,16,1,2
"Chatsworth  Tunnel, 9133",454434,87,1,2
"Lake Road, 197",127589,98,4,2
"Virgil   Street, 769",347298,87,2,2
"Baynes  Way, 462",349849,87,1,3
"Cave   Way, 8624",372069,74,1,1
"Ely  Walk, 8404",272513,1,5,3
"Burton  Avenue, 2448",158020,25,1,2
"Cockspur  Way, 8763",179659,76,4,2
"Mariner  Crossroad, 2324",496808,97,3,1
"Chapel  Vale, 4567",160027,59,3,2
"Andrews  Tunnel, 1662",437183,37,5,1
"Chestnut  Walk, 4263",330671,96,2,1
"Jackson Drive, 4275",490370,35,3,1
"Caxton  Way, 5015",67282,41,3,3
"Camdale  Walk, 9954",347201,65,1,1
"Durnford  Pass, 4277",224038,83,3,2
"Cavell   Walk, 3692",54685,26,1,2
"Byland  Road, 2659",158178,92,3,2
"Under  Rue, 8219",485706,46,2,3
"Canon Grove, 9631",191790,18,5,2
"Ashley Drive, 5918",285173,7,3,3
"Fairbairn  Vale, 280",114908,35,3,1
"Balfour    Pass, 4200",376132,56,4,3
"Heritage Way, 4185",215424,26,4,1
"Adelaide  Route, 6952",88108,21,4,3
"Adams  Rue, 7177",433718,92,4,3
"Enford   Walk, 8239",98564,65,4,1
"Paris   Hill, 5903",328564,13,5,1
"Walnut Vale, 1550",414250,80,5,2
"Longleigh   Boulevard, 596",115472,84,2,3
"Coborn  Rue, 8719",336941,15,5,2
"Rail Way, 2597",324183,13,4,3
"Mariner   Alley, 4656",82393,82,4,2
"Blake  Hill, 433",102490,78,2,3
"Norland  Pass, 9623",415795,34,3,2
"Woodland Pass, 9812",492418,95,4,2
"Dyott   Lane, 2002",351644,1,4,3
"Epworth  Way, 735",56678,60,1,2
"Yoakley Crossroad, 5209",217032,52,4,2
"Waldram Park  Boulevard, 7963",406302,27,1,1
"Chalcot  Avenue, 889",442589,94,1,3
"Beatty  Crossroad, 4463",394848,64,5,1
"Byland  Lane, 7979",383671,43,1,3
"Falconberg   Grove, 6119",243721,0,2,3
"Elba  Route, 8784",384953,72,5,3
"Arlington  Drive, 1424",345818,4,4,2
"Bond Alley, 6048",445970,76,1,2
"Rivervalley Drive, 503",429550,93,2,2
"Heritage Avenue, 4419",472190,82,1,1
"Thorndike   Hill, 220",465550,10,2,1
"Fairholt   Rue, 842",224743,45,2,3
"Camdenhurst   Road, 5505",159851,11,1,1
"Coalecroft  Crossroad, 9008",403495,52,2,1
"Abbots   Rue, 7191",149507,45,3,2
"Rosewood Hill, 9563",349398,72,3,2
"Virgil   Drive, 4551",266171,9,3,2
"Fairfield  Lane, 6940",367423,8,5,1
"Arline    Vale, 1379",310275,4,5,2
"Canal  Route, 1672",499059,82,2,3
"Blackheath   Way, 5787",226012,49,4,1
"Mariner   Grove, 3052",243925,75,3,1
"Cecilia  Road, 5157",219120,52,3,3
"Norland  Walk, 870",353984,62,1,2
"Dunton  Tunnel, 4824",168706,23,4,1
"Linden Alley, 3142",317031,19,5,3
"Unwin  Crossroad, 1475",184054,52,2,1
"Collins  Rue, 6220",186880,84,1,3
"West Avenue, 7155",440195,57,4,1
"Garfield Walk, 1672",281813,68,5,2
"Eldon  Street, 7823",197892,54,5,3
"Bond Lane, 3776",93135,74,2,1
"Cadogan  Crossroad, 9595",225604,64,1,2
"Clere  Way, 7262",327286,29,4,2
"Chatsworth  Drive, 7827",427739,36,4,2
"Dunstans  Crossroad, 9754",187056,22,1,3
"Bellenden  Boulevard, 7711",422909,43,5,2
"Church Street, 1249",68120,90,5,1
"Victorian  Road, 7124",159927,27,2,3
"Boleyn  Way, 2564",222536,60,5,1
"Maple Drive, 857",241856,90,4,1
"Boldero   Drive, 7874",438449,61,5,1
"Tiptree   Rue, 7990",255349,64,1,3
"Cephas  Tunnel, 603",476737,90,5,2
"Hampden  Avenue, 4452",421619,16,2,3
"Fieldstone Road, 6138",51134,25,2,2
"Railroad Lane, 3810",345250,27,5,1
"Bective  Grove, 9269",483487,68,2,1
"Betton  Road, 4780",499959,91,3,2
"Thorndike   Boulevard, 374",252042,66,1,2
"Collins  Street, 4538",223850,92,3,3
"Longmoore   Rue, 2922",335435,88,3,3
"Bishop   Avenue, 8624",266277,99,4,2
"Canon Vale, 27",202763,73,5,2
"Hammersmith  Boulevard, 2071",325137,82,4,1
"Badric  Avenue, 5769",391559,83,3,2
"Duthie   Street, 3656",64675,7,4,2
"Bacton   Vale, 9682",349717,40,1,2
"Catherine  Grove, 469",136079,68,1,3
"Camdale  Alley, 229",78706,76,3,3
"Heritage Tunnel, 7215",122318,14,1,3
"Callcott   Way, 3069",349684,11,2,3
"Garfield Tunnel, 9452",239112,59,4,1
"Heritage Hill, 5677",119528,53,4,1
"Railroad Boulevard, 9687",185789,22,3,3
"Falconberg   Tunnel, 5053",163381,92,5,1
"Bempton   Pass, 5253",305051,74,5,1
"Amwell    Alley, 6435",130645,77,3,1
"Commercial  Vale, 62",327524,49,4,3
"Zealand Boulevard, 3642",450334,68,5,1
"Abbey   Grove, 1683",348357,77,1,1
"Carol   Road, 5877",405253,63,5,1
"King William  Boulevard, 1226",252359,3,4,1
"Sheringham   Avenue, 6352",245859,27,2,2
"Baynes  Vale, 6771",78222,1,5,3
"Cadogan  Avenue, 5161",498808,43,5,3
"Arlington  Grove, 8272",437576,81,3,1
"Canon Tunnel, 4399",340874,22,1,3
"Aberavon  Hill, 2278",273545,87,4,2
"Chantry   Lane, 7266",326123,95,3,2
"College  Way, 4523",317778,94,1,3
"Lexington Walk, 5739",259952,65,3,2
"Littlebury  Tunnel, 4163",407249,74,5,3
"Lincoln Tunnel, 5005",304740,12,3,1
"Abbots   Alley, 2477",435607,19,3,1
"Earl Rise Drive, 514",176883,97,5,3
"Champion  Rue, 302",148108,19,5,3
"Erindale Boulevard, 8196",146552,44,5,3
"Lincoln Drive, 290",416443,59,4,2
"Timothy  Boulevard, 6096",257303,8,2,1
"Thomas More   Route, 5119",394235,3,5,1
"Earl Rise Grove, 3481",468449,57,2,3
"Carol   Grove, 6423",387362,47,2,1
"Cedarne  Road, 4676",223444,16,2,1
"Cato   Grove, 7572",98396,77,4,2
"Sherwood  Boulevard, 4496",233291,9,4,3
"South Rue, 8843",55984,48,4,3
"Kimberley  Drive, 7109",328769,97,5,1
"Virgil   Road, 3795",442075,54,1,1
"Catherine  Way, 8222",412535,59,3,3
"Aylward   Street, 3424",218811,56,4,2
"Collins  Hill, 3721",357500,54,1,2
"Chester  Road, 4880",410443,71,2,2
"Belmore  Alley, 5360",295769,49,2,2
"Eaglet  Alley, 2077",451595,32,1,3
"West Route, 2444",233316,33,4,1
"Thurloe   Road, 1880",499783,9,5,2
"Lonsdale  Boulevard, 47",445792,20,2,3
"Berriman  Walk, 8289",82800,25,1,1
"Birkenhead   Vale, 7908",149795,2,4,3
"Belfort  Tunnel, 3936",220280,55,4,3
"Rivervalley Boulevard, 5466",226490,49,5,2
"Longleigh   Street, 129",107059,83,5,2
"Parkgate  Grove, 3345",83634,53,4,3
"Armory  Route, 7776",82078,22,5,3
"Eaglet  Way, 5011",342451,64,1,1
"Archery  Tunnel, 6806",391806,28,4,3
"Church Walk, 950",138753,72,1,1
"Waldram Park  Alley, 3036",56530,85,5,1
"Callcott   Walk, 3209",172131,91,4,2
"Ampton  Avenue, 4769",135542,86,3,1
"Arctic   Rue, 3152",161728,4,1,3
"Carolina  Rue, 8739",273852,89,4,1
"Bellenden  Street, 6353",405002,19,5,2
"Cleveland  Route, 4881",216941,2,1,2
"King William  Way, 72",437944,43,1,3
"Coalecroft  Drive, 7661",413185,71,2,1
"Battersea   Grove, 7738",61659,92,2,1
"Sundown Crossroad, 4012",354054,75,3,2
"Zealand Crossroad, 8772",58224,99,3,2
"Birkin   Crossroad, 6353",255261,73,3,1
"Westcott  Crossroad, 9817",264114,50,1,2
"Ellerman   Pass, 3451",94138,78,2,3
"West Way, 1864",357566,41,1,1
"Wakley   Lane, 7887",376386,82,5,1
"Dyott   Vale, 5697",134848,80,5,1
"Lake Grove, 1999",162230,42,1,2
"Angel  Hill, 9201",144282,18,3,1
"Boldero   Grove, 7726",196198,49,1,1
"York Street, 7504",354147,19,3,1
"Clifton  Walk, 9094",487820,43,5,3
"Westbourne Drive, 4340",496888,88,4,1
"Belgrave  Crossroad, 5157",339611,57,4,1
"Tilson  Walk, 8635",192639,85,1,3
"Epworth  Grove, 5735",151543,78,1,2
"Commercial  Road, 2366",386054,55,3,1
"Norland  Boulevard, 3318",323405,30,5,2
"Kingly  Street, 323",327898,67,1,3
"York Road, 6559",309893,78,5,3
"Arundel   Crossroad, 7673",93810,68,3,2
"Billing  Tunnel, 8967",60926,24,2,1
"Archery  Hill, 7093",298979,5,2,3
"Meadow Hill, 6080",101041,3,4,3
"Becher  Hill, 1693",394337,67,1,3
"Lake Hill, 5102",330327,48,1,2
"Canal  Vale, 5932",240630,76,4,2
"Cleveland  Drive, 243",378511,44,1,1
"Emily  Vale, 9838",341572,86,5,3
"Marina  Pass, 2591",309712,13,2,3
"Bliss  Street, 9302",307197,34,3,1
"Coalecroft  Road, 6897",169086,99,2,2
"Earl Rise Vale, 352",152884,5,4,1
"Andrews  Avenue, 9749",332205,20,3,1
"Rivervalley Boulevard, 8464",337657,35,3,2
"Fawn Alley, 1585",94358,62,1,3
"Carpenter Boulevard, 3833",440430,56,3,1
"Hammersmith  Street, 3485",83392,69,5,2
"Erindale Drive, 9443",113904,86,1,3
"Bingham   Crossroad, 6253",336237,72,5,3
"Blore  Crossroad, 1301",245008,53,2,1
"Baylis  Way, 7594",338429,13,1,3
"Arlington  Avenue, 5650",345675,71,5,1
"Yoakley Street, 9564",392209,6,5,2
"Dunstans  Pass, 2315",428823,53,1,2
"Gate   Street, 6408",122113,57,2,2
"Coleman  Street, 5010",379097,80,1,2
"Duthie   Alley, 9789",51249,92,5,3
"Emden   Vale, 6728",265097,32,4,3
"Woodland Avenue, 7990",316764,1,2,3
"Geffrye   Lane, 4968",113185,68,4,3
"Dutton   Grove, 292",163159,74,5,1
"Marina  Tunnel, 8389",328026,36,4,3
"Heritage Drive, 6822",161462,50,4,2
"Virginia Rue, 1385",407798,87,5,1
"Carlisle  Avenue, 8622",157172,17,1,2
"Kilner   Way, 2265",313520,90,4,1
"Ashley Drive, 9748",342121,67,1,1
"Canal  Walk, 8926",129574,97,2,2
"Ely  Lane, 4563",439300,8,1,2
"Berry  Drive, 3796",134097,48,1,1
"Kingly  Grove, 6620",320926,98,2,2
"Calverley  Vale, 1460",141571,72,5,1
"Beatty  Drive, 614",141955,89,2,3
"Ely  Walk, 7204",417686,63,3,2
"Gavel   Way, 4622",137057,2,5,2
"Cheltenham  Street, 5747",495828,85,5,1
"Longleigh   Boulevard, 6615",210754,20,2,1
"Besson  Boulevard, 9824",315101,78,2,2
"Castlereagh   Drive, 7849",206286,81,5,3
"Walnut Rue, 101",365668,92,3,1
"Arline    Avenue, 2136",68334,27,5,1
"Thurloe   Alley, 4598",242518,19,3,3
"Burton  Avenue, 6043",156980,54,1,3
"Chelsea Manor  Walk, 6433",64842,11,2,1
"Under  Rue, 6557",178150,83,4,1
"Edwin   Walk, 5483",283514,40,3,1
"Chantry   Boulevard, 9194",331290,47,4,1
"Hamilton  Route, 4637",220360,48,4,2
"Marina  Hill, 78",120420,69,5,3
"Coalecroft  Walk, 1431",212062,60,4,2
